it	scn	classification	notes
In breve tempo i due raggiunsero i MusicLand Studios sempre a Monaco, dove Mercury si unì al resto dei Queen per parlare della sua fresca idea musicale.	Doppu picca li dui arrivaru nnî MusicLand Studios di Mònacu, unni Mercury si juncìu ô restu dû gruppu pi parrari di la so idea musicali.	correct translation (natural sentence)	
L'ankh (☥), conosciuto anche come chiave della vita e croce ansata, è un antico simbolo sacro egizio che essenzialmente simboleggia la vita.	L'ankh, canusciutu macari comi chiavi da a vita e cruci ansata, eni n'anticu simbulu sacru egiziu ca issinzialmenti simbuleggia a vita.	correct translation (natural sentence)	
Accorta, rindinella! nu t'annegari, Tu pierdi lu siggillu ed io lu cori!	L'acqui dô mari, hannu straurdinari puteri, e lu stissu li scogghi.	wrong language	
Ogni morso ti rimpicciolisce a livelli smisurati Ogni morso tu ingrandisce a livelli smisurati.	Li mudelli si vìnnunu tutti ntâ catigurìa dî màchini spurtivi di lussu, e la quantitati pruduciuta nun passa mai quarchi migghiara.	incorrect translation	
Il portale bugnato è in peperino.	La pignatuna è na pignata granni.	incorrect translation	
L'Africa a fumetti.	L'Àfrica è nu cuntinenti.	incorrect translation	
L'Unione ebbe 12.410 perdite con circa 2.100 caduti.	Havi circa 412'000 abbitanti.	incorrect translation	
La notte Oranoff aspetta di incontrare Anna, ma Satterthwaite la vede fuggire con Quin, vestito da Arlecchino.	U chianuforti è sunatu ra Mercury, ma no video si viri Deacon ca fa finta i sunari u strumentu.	incorrect translation	
Sulle orme della pulzella d'Orléans.	Era suprannuminata puru la pulzella d'Orleans.	incorrect translation	
Contes cruels (Racconti crudeli), 2 volumi (1990 e 2000).	Contes cruels (Cunti crudeli) (1990).	incorrect translation	
Leopoli è inoltre sede di un'orchestra filarmonica e del Teatro d'Opera e di Balletto di Leopoli.	Liòpuli è sedi di n'urchestra filarmònica e dû Tiatru di l'Òpira e di Ballettu.	correct translation (natural sentence)	
Il portale manca molto probabilmente del coronamento.	È macari 'n rapportu câ flissura manca dû colon.	incorrect translation	
Per i verbi ausiliari si avrà invece: sii, sia, siamo, siate, siano e abbi, abbia, abbiamo, abbiate, abbiano.	Chistu è a càusa dâ nfruenza forti dâ littiratura tuscana ca usa: ho, hai, ha, abbiamo, avete, hanno.	incorrect translation	
Il portale è a bugne, affiancato da lesene e sormontato da un cornicione.	La purpa è li parti cchiù tènnira e succusa d'un fruttu.	incorrect translation	
Fu il primo disco dei Queen a cui fu assegnato un disco di platino.	Fu lu primu discu dî Queen a cui fu datu lu discu di platinu.	correct translation (natural sentence)	
Monosomie il riarrangiamento ha eliminato un cromosoma.	L' ununpèntiu è n'elimentu chìmicu transuranicu.	incorrect translation	
Importante per la dottrina sacramentaria cattolica il cap.	E' cunsidiratu santu pi la chiesia cattolica. separatore	incorrect translation	
In seguito divise il suo tempo tra gare, lavoro e studi.	I tandu 'n poi a vita soi si spartìu tra lavoru (oculista), e a diffusioni i l'esperantu.	incorrect translation	
Le gare del palio sono quattro: staffetta, tiro con l'arco, tiro alla fune e corsa equestre.	Un jornu un cacciaturi di nomu Syeru, dittu Arcariu, picchì cacciava cu l’arcu, curpiù l’armali.	incorrect translation	
Avventura in solitario con Mike Hill, James L. Shipman (2008).	Videu di YouTube Otto E. Rössler (2008-06-09).	incorrect translation	
Il Commercio equo-solidale nello stesso anno lo pagava più di tre volte tanto, 141 dollari per 100 libbre.	Lu Cummerciu equo-sulidali ntô stissu annu lu pajava chiù di tri voti tantu, 141 dollari pi 100 libbri.	correct translation (natural sentence)	
Nel brano, la voce di Freddie Mercury arriva a raggiungere note altissime, soprattutto verso la fine.	Na canzuna, a vuci di Freddie Mercury pigghìa noti autìssimi, suprattuttu versu a fini.	correct translation (natural sentence)	
Il tempo passa e i tre diventano inseparabili.	Ddi tempi passaru, e oi Noule è nu paisi tranquillu.	incorrect translation	
Agostina si stabilisce col piccolo Leo nella vecchia casa di Prati.	Sicunnu assai sturiusi lu paisi discinna di l'antica citati di Hydra.	incorrect translation	
Peter Jonathan Westbrook (St. Louis, 16 aprile 1952) è un ex schermidore statunitense.	David Kaufman (St. Louis, 23 di giugnettu 1961) è n'atturi statunitenzi.	incorrect translation	
Terminati gli studi fu nominato giovanissimo all'insegnamento del disegno alla Scuola d'Arte di Fuscaldo, in Calabria.	Era nasciutu cumu surdu e 'mpari a scuola d'arte pi surdi a Jena.	incorrect translation	
Nepeta nepetella var. humilis Benth.	Lamèntiti si voi stari bonu.	incorrect translation	
